id	class	disposition	component	b2	test	note	text
134,00	C1	enforced	card reader and lexer	B.2 lexical/card-format	test/procedure_lexer_test.dart: a machine special in a word draws 134,00 and reads as zero		ILLEGAL CHARACTER REPLACED IN INTERNAL TEXT BY 0, AND IN EXTERNAL TEXT BY $.
135,00	C5	unreachable	none	B.2 self-diagnostics		permanent read error for input; media/hardware failure, unreachable by construction in a Dart implementation (D9.15 group b)	PERMANENT READ ERROR FOR INPUT. DUBIOUS COMPILATION.
136,00	C5	unreachable	none	B.2 self-diagnostics		redundancy writing the external dictionary; media/hardware failure, unreachable by construction in a Dart implementation (D9.15 group b)	REDUNDANCY WHILE WRITING EXTERNAL DICTIONARY. DUBIOUS COMPILATION.
137,00	C5	unreachable	none	B.2 self-diagnostics		redundancy reading the external dictionary; media/hardware failure, unreachable by construction in a Dart implementation (D9.15 group b)	REDUNDANCY WHILE READING EXTERNAL DICTIONARY. DUBIOUS COMPILATION.
138,00	C3	enforced	procedure parser	B.2 environment description	test/procedure_parser_test.dart: CLOSE parses its file list; a bare CLOSE draws 138		FILE NAME SHOULD FOLLOW -CLOSE-.
139,00	C3	enforced	procedure parser	B.2 environment description	test/procedure_parser_test.dart: OPEN without a file name draws 139		FILE NAME SHOULD FOLLOW -OPEN-.
140,00	C5	unreachable	none	B.2 self-diagnostics		internal text synchronization failure; media/hardware failure, unreachable by construction in a Dart implementation (D9.15 group b)	INTERNAL TEXT SYNCHRONIZATION FAILURE. DUBIOUS COMPILATION.
141,00	C1	enforced	procedure parser	B.2 sections/control flow	test/procedure_parser_test.dart: PROGRAM.START: a duplicate draws 141; a DO on it draws 143		MORE THAN ONE -PROGRAM.START-. FIRST USED.
142,00	C4	enforced	name resolution	B.2 sections/control flow	test/resolver_test.dart: PROGRAM.START as a data name draws 142,00	M3 stage 2 (M3-17; D2.1)	-PROGRAM.START- MUST BE A STATEMENT OR SECTION NAME.
143,00	C4	enforced	procedure parser	B.2 sections/control flow	test/procedure_parser_test.dart: PROGRAM.START: a duplicate draws 141; a DO on it draws 143		-PROGRAM.START- CANNOT BE A STATEMENT OR SECTION NAME ADDRESSED BY A -DO-.
144,00	C3	enforced	card reader and lexer	B.2 environment description	test/environment_lexer_test.dart: a first card without a legal type is deleted with 144,00		ILLEGAL ENVIRONMENT CARD TYPE.
145,00	C3	reserved	CRYPT assembler	B.2 CRYPT		M4	MISSING ADDRESS.
146,00	C3	reserved	CRYPT assembler	B.2 CRYPT		M4	MISSING TAG.
147,00	C3	reserved	CRYPT assembler	B.2 CRYPT		M4	MISSING DECREMENT.
148,00	C5	enforced	card reader and lexer	B.2 capacity overflow	test/data_lexer_test.dart: a constant longer than 120 characters draws 148,00	capacity value 120 is ours (D7.9); severity C5 stops the compile (D9.1)	LENGTH OF ALPHABETIC CONSTANT EXCEEDS INTERNAL TABLE CAPACITY AND SHOULD BE SUBDIVIDED.
149,00	C5	enforced	procedure parser	B.2 capacity overflow	test/procedure_parser_test.dart: the 36th section stops compilation with one 149 (D9.1)	35-section cap hard-enforced (D9.7); severity C5 stops the compile	NUMBER OF SECTIONS IN PROGRAM EXCEEDS INTERNAL TABLE CAPACITY.
150,00	C2	enforced	card reader and lexer	B.2 numeric limits	test/procedure_lexer_test.dart: an over-long literal draws 150,00		ALPHABETIC LITERAL EXCEEDS 50 CHARACTERS.
151,00	C4	reserved	CRYPT assembler	B.2 CRYPT		M4 (VFD deferred, D9.8)	VFD IS NOT YET HANDLED BY SYSTEM.
152,00	C1	enforced	name resolution	B.2 names	test/resolver_test.dart: a name equal to a used list-3 word draws 152,00	M3 stage 2 (M3-17; key-word list 3, M2-7)	'NAME.1' SHOULD NOT BE USED AS DATA NAME.
153,00	C3	enforced	environment description	B.2 environment description	test/environment_parser_test.dart: an out-of-range ACTIVITY integer draws the 153,00 fallback	fallback for SPECIF faults with no dedicated message (D10.1)	-SPECIF- CARD FORMAT ERROR.
154,00	C3	enforced	environment description	B.2 environment description	test/environment_parser_test.dart: a literal first item draws 154,00		FILE NAME MUST BE FIRST ITEM IN VARIABLE FIELD.
155,00	C2	enforced	environment description	B.2 environment description	test/environment_parser_test.dart: UNIT1 with no following literal draws 155,00		ALPHAMERIC LITERAL MUST FOLLOW -UNIT-.
156,00	C2	enforced	environment description	B.2 environment description	test/environment_parser_test.dart: SERIAL with no following literal draws 156,00		ALPHAMERIC LITERAL MUST FOLLOW -SERIAL-.
157,00	C2	enforced	environment description	B.2 environment description	test/environment_parser_test.dart: REEL with no following literal draws 157,00		ALPHAMERIC LITERAL MUST FOLLOW -REEL-.
158,00	C2	enforced	environment description	B.2 environment description	test/environment_parser_test.dart: RETAIN with no following integer draws 158,00		NUMERIC INTEGER MUST FOLLOW -RETAIN-.
159,00	C2	enforced	environment description	B.2 environment description	test/environment_parser_test.dart: ACTIVITY with no following integer draws 159,00		NUMERIC INTEGER MUST FOLLOW -ACTIVITY-.
160,00	C2	enforced	environment description	B.2 numeric limits	test/environment_parser_test.dart: an over-length SERIAL literal draws 160,00 and is dropped	per-option bounds enforced: 6 UNIT1/UNIT2, 5 SERIAL, 4 REEL (D10.1)	ALPHABETIC LITERAL FOLLOWING KEY WORD CANNOT EXCEED 6 CHARACTERS.
161,00	C3	enforced	environment description	B.2 environment description	test/environment_parser_test.dart: every issued message id has a severity row (Diagnostic.severity)		-POOL- CARD FORMAT ERROR.
162,00	C2	enforced	environment description	B.2 environment description	test/environment_parser_test.dart: POOL BLOCKSIZE with no following integer draws 162,00		NUMERIC INTEGER MUST FOLLOW -BLOCKSIZE- ON -POOL- CARD.
163,00	C2	enforced	environment description	B.2 environment description	test/environment_parser_test.dart: every issued message id has a severity row (Diagnostic.severity)		NUMERIC INTEGER MUST FOLLOW -BUFFERCOUNT-.
164,00	C3	enforced	environment description	B.2 environment description	test/environment_parser_test.dart: every issued message id has a severity row (Diagnostic.severity)		-GROUP- CARD FORMAT ERROR.
165,00	C2	enforced	environment description	B.2 environment description	test/environment_parser_test.dart: GROUP OPENCOUNT with no following integer draws 165,00		NUMERIC INTEGER MUST FOLLOW -OPENCOUNT-.
166,00	C3	enforced	name resolution	B.2 names	test/resolver_test.dart: an ambiguous reference draws 166,00	M3 stage 2 (M3-17 triage and definition scopes; D2.5; D4.13)	'NAME.1' IS NOT UNIQUE IN THIS SECTION.
167,00	C2	enforced	card reader and lexer	B.2 lexical/card-format	test/environment_lexer_test.dart: an unclosed literal draws 167,00		SECOND QUOTE MARK MISSING.
168,00	C2	enforced	card reader and lexer	B.2 lexical/card-format	test/procedure_lexer_test.dart: an unclosed literal draws 168,00		ALPHABETIC LITERAL EXTENDS ACROSS CARDS.
169,00	C4	reserved	code generator	B.2 sections/control flow		M4 (program-continuity checks)	PROBABLE PROGRAM CONTINUITY ERROR. PROGRAM FLOWS INTO GENERATED CONSTANTS.
170,00	C1	enforced	procedure parser	B.2 conditionals	test/procedure_parser_test.dart: GO TO A IF condition repairs to WHEN with 170 (PROC-3)	repair attested, criterion invented (D9.11)	-WHEN- SUBSTITUTED FOR -IF- BECAUSE OF IMPROPER USE.
171,00	C3	enforced	procedure parser	B.2 numeric limits	test/procedure_parser_test.dart: the 61st operator deletes the sentence (msg 171; M2-6)		NUMBER OF OPERATORS IN THIS SENTENCE EXCEEDS MAXIMUM OF 60. SENTENCE DELETED FROM TEXT.
172,00	C5	reserved	code generator	B.2 capacity overflow		M4 (constant pool, D9.7)	CONSTANT POOL OVERFLOW.
173,00	C5	reserved	code generator	B.2 names		M4 (generated-symbol integrity, D9.13)	REFERENCE MADE TO NON-EXISTENT SYSTEM GENERATED NAME.
174,00	C1	reserved	code generator	B.2 names		M4 (generated-symbol integrity, D9.13)	REFERENCE TO SYSTEM SUBROUTINE LACKS PROPER NUMBER. ZERO ASSUMED.
175,00	C4	enforced	procedure parser	B.2 sections/control flow	test/procedure_parser_test.dart: a missing STOP RUN draws 175 (D2.7)		NO -STOP RUN- IN PROGRAM.
176,00	C3	enforced	environment description	B.2 environment description	test/environment_parser_test.dart: every issued message id has a severity row (Diagnostic.severity)		-CONTRL- CARD FORMAT ERROR.
177,00	C3	reserved	procedure parser	B.2 capacity overflow		M3 (sentence table capacity, D9.7); C3 by the D9.2 precedence rule	THIS SENTENCE EXCEEDS INTERNAL TABLE CAPACITY. SENTENCE DELETED FROM TEXT.
178,00	C1	enforced	data description, environment description	B.2 names	test/data_parser_test.dart: a key word as a data name draws 178 and is kept (D1.5)	applied to list 1 and list 2 alike (D10.8)	PROCEDURE KEY WORD USED IN DATA OR ENVIRONMENT, INTERPRETED AS A DATA NAME.
179,00	C3	enforced	procedure parser	B.2 sections/control flow	test/procedure_parser_test.dart: END must be the only clause in its sentence (msg 179)		-END- SECTION MUST BE THE ONLY CLAUSE IN THE SENTENCE.
180,00	C4	reserved	code generator	B.2 MOVE/ADD/SET/arithmetic		M4 (deferred construct, D9.8)	MOVE OF FIGURATIVE CONSTANT TO VARIABLE LENGTH FIELD NOT YET HANDLED BY SYSTEM.
181,00	C4	reserved	code generator	B.2 numeric limits		M4 (deferred construct, D9.8)	MOVE OF FIGURATIVE CONSTANT TO FIELD LONGER THAN 32766 CHARACTERS NOT YET HANDLED BY SYSTEM.
182,00	C2	reserved	name resolution	B.2 MOVE/ADD/SET/arithmetic		M3 (data-format checks)	IMPROPER DATA FORMAT.
183,00	C5	reserved	name resolution	B.2 capacity overflow		M3 (index expression table, D9.7)	NUMBER OF SUBSCRIPT EXPRESSIONS USED EXCEEDS INTERNAL TABLE CAPACITY.
184,00	C5	reserved	name resolution	B.2 capacity overflow		M3 (positional indicator table, D9.7)	NUMBER OF SUBSCRIPTED NAMES USED EXCEEDS INTERNAL TABLE CAPACITY.
185,00	C2	enforced	data description	B.2 data description	test/resolver_test.dart: an unresolvable stray name draws 185,00	M3 stage 2 (M3-17 stray names and extras, J 02.05.06 e)	DATA DESCRIPTION PICTORIAL ERROR.
186,00	C1	enforced	card reader and lexer	B.2 lexical/card-format	test/environment_lexer_test.dart: type content on a continuation card draws 186,00		DATA OR ENVIRONMENT FIXED FIELD INFORMATION SHOULD BE PUNCHED IN ONLY THE FIRST CARD\n                    OF A MULTIPLE CARD GROUP. POSSIBLE CONTINUATION CHARACTER ERROR.
187,00	C3	reserved	code generator	B.2 conditionals		M4 (conditional test capacity); garbled tail preserved (D9.6)	CONDITIONAL EXPRESSION TEST CAPACITY EXCEEDED.\n                    REWRITE AS TWO OR MORE SEPARATE EXPRESSIONS, EACH WITH
188,00	C3	reserved	name resolution	B.2 sections/control flow		M3 (DO target check)	'NAME.1', ADDRESSED BY A -DO-, IS NEITHER A STATEMENT NOR A SECTION NAME.
189,00	C1	enforced	card reader and lexer	B.2 data description	test/data_lexer_test.dart: illegal mode and justification characters draw 189,00/190,00		EXTERNAL MODE SUBSTITUTED FOR ILLEGAL MODE CHARACTER.
190,00	C1	enforced	card reader and lexer	B.2 data description	test/data_lexer_test.dart: illegal mode and justification characters draw 189,00/190,00		FIELD IS NOT JUSTIFIED BECAUSE OF ILLEGAL JUSTIFICATION CHARACTER.
191,00	C4	enforced	name resolution	B.2 names	test/resolver_test.dart: SET of a non-condition draws 191,00	M3 stage 2 (M3-17; M3-19)	'NAME.1' IS NOT PROPERLY DEFINED.
192,00	C3	enforced	procedure parser	B.2 lexical/card-format	test/procedure_parser_test.dart: ON OVERFLOW with more than one result draws 192 (F p. 44)	also used for key-word misuse with no attested message (D1.5)	SENTENCE STRUCTURE ERROR. POSSIBLE ILLEGAL USE OF A KEY WORD.
193,00	C4	enforced	environment description	B.2 numeric limits	test/environment_parser_test.dart: the 64th FILE card draws 193,00 across groups (D10.8)	program-wide tally across environment groups (J 90.01.04; D10.8)	LIMIT OF 63 FILES EXCEEDED.
194,00	C3	enforced	card reader and lexer	B.2 data description	test/data_lexer_test.dart: a named entry without a level draws 194,00; unnamed does not		DATA NAME LACKS LEVEL.
195,00	C3	reserved	input/output binder	B.2 environment description		M3 (record/file consistency); NAME.2 prints before NAME.1 (msgs 5, 195)	CANNOT FILE RECORD 'NAME.2' IN THIS FILE,\n                    'NAME.1', BECAUSE ENVIRONMENT FILE CARD LACKS THIS RECORD NAME.
196,00	C3	enforced	procedure parser	B.2 lexical/card-format	test/procedure_parser_test.dart: IF without THEN draws 196 and deletes		ILLEGAL SENTENCE STRUCTURE NOTHING DONE.
197,00	C4	enforced	data description	B.2 data description	test/resolver_test.dart: a RECORD entry after leading description draws 197,00	M3 stage 2 (M3-17 record precedence; reading ours)	RECORD NAME MUST PRECEDE DESCRIPTION OF RECORD.
198,00	C1	reserved	input/output binder	B.2 environment description		M3 (record/file consistency)	NO RECORDS PROCESSED IN FILE 'NAME.1'
199,00	C1	reserved	code generator	B.2 MOVE/ADD/SET/arithmetic		M4 (scaling analysis)	UPSCALE MAY CAUSE HIGH ORDER TRUNCATION FOR STORE INTO 'NAME.1'
200,00	C5	reserved	data description	B.2 capacity overflow		M3 (variable-length field table, D9.7)	NUMBER OF VARIABLE LENGTH FIELDS EXCEEDS INTERNAL TABLE CAPACITY.
201,00	C5	reserved	data description	B.2 capacity overflow		M3 (hierarchy depth table, D9.7)	NUMBER OF NESTED LEVELS IN 'NAME.1' EXCEEDS INTERNAL TABLE CAPACITY.
202,00	C5	reserved	data description	B.2 capacity overflow		M3 (base locator table, D9.7)	NUMBER OF DATA GROUPS ASSOCIATED WITH BASE LOCATOR EXCEEDS INTERNAL TABLE CAPACITY.
203,00	C5	reserved	data description	B.2 capacity overflow		M3 (array table, D9.7)	NUMBER OF ARRAYS EXCEEDS INTERNAL TABLE CAPACITY.
204,00	C5	reserved	data description	B.2 capacity overflow		M3 (edited field format table, D9.7)	NUMBER OF DIFFERENT EDIT FIELDS EXCEEDS INTERNAL TABLE CAPACITY.
205,00	C5	reserved	name resolution	B.2 capacity overflow		M3 (subscript variable table, D9.7)	INTERNAL TABLE OVERFLOW. REDUCE DUPLICATE USAGE OF SUBSCRIPT VARIABLE NAMES.
206,00	C1	reserved	name resolution	B.2 DO/functions/subscripting		M3 (subscript format advisory); criterion invented (D9.11)	'NAME.1' HAS INEFFICIENT FORMAT FOR SUBSCRIPT VARIABLE.
207,00	C3	enforced	environment description	B.2 numeric limits	test/environment_parser_test.dart: a CONTRL name over 6 characters draws 207,00; well-formed card also gets 90,00		-CONTRL- NAME MUST BE UNIQUE AND 6 CHARACTERS OR LESS.
208,00	C3	enforced	procedure parser	B.2 lexical/card-format	test/procedure_parser_test.dart: a sentence starting with OTHERWISE draws 208 and deletes		SENTENCE CANNOT START WITH -OTHERWISE-
209,00	C1	enforced	input/output binder	B.2 environment description	test/data_mapper_test.dart: an input card file under 24 words draws 209,00 and 24 is	M3 (blocksize adequacy)	'NAME.1' HAS INSUFFICIENT BLOCKSIZE. BLOCKSIZE USED IS
900,00	C1	enforced	card reader and lexer	ours (D9.7)	test/procedure_lexer_test.dart: a stray period draws 900,00 and is ignored		PERIOD NOT FOLLOWED BY BLANK AND NOT PART OF A WORD IS IGNORED. (NON-HISTORICAL.)
901,00	C2	enforced	card reader and lexer	ours (D9.7)	test/procedure_lexer_test.dart: a word over 30 characters draws 901,00		'NAME.1' EXCEEDS 30 CHARACTERS. (NON-HISTORICAL.)
902,00	C3	enforced	card reader and lexer	ours (D9.7)	test/source_program_test.dart: an asterisk outside column 7 is not a header		CARD PRECEDES THE FIRST DIVISION HEADER AND IS IGNORED. (NON-HISTORICAL.)
903,00	C3	enforced	job splitter and driver	ours (D9.7)	test/driver_test.dart: the single-job tail draws 903 at 9999,99 (D11.1 rule d)	the splitter routes a card between jobs to the next job (902) instead (D11.1)	CARD FOLLOWS THE *FINISH CARD AND IS IGNORED. (NON-HISTORICAL.)
904,00	C1	enforced	card reader and lexer	ours (D9.7)	test/source_program_test.dart: a second compile card draws 904,00 and is ignored	only before a division header; after one, a compile card starts the next job (D11.1)	DUPLICATE COMPILE CONTROL CARD IS IGNORED. (NON-HISTORICAL.)
905,00	C4	enforced	environment description	ours (D9.7)	test/environment_parser_test.dart: PATTERN draws 905,00 and nothing else (D9.12)		-PATTERN- OPTION RECOGNIZED BUT NOT IMPLEMENTED. SEE DECISION D6. (NON-HISTORICAL.)
906,00	C2	enforced	data description	ours (D9.7)	test/data_parser_test.dart: a RECORD card with a Quantity draws 906		DATA DESCRIPTION CARD CODING CONFLICTS WITH ITS TYPE CODE. (NON-HISTORICAL.)
907,00	C3	enforced	data description	ours (D9.7)	test/data_parser_test.dart: a withdrawn or unknown code draws 907 and a null typeCode		TYPE CODE 'NAME.1' IS NOT IN THE 7090 LANGUAGE. (NON-HISTORICAL.)
908,00	C2	enforced	data description	ours (D9.7)	test/data_parser_test.dart: rejects zero, overflow, and non-numbers with 908		QUANTITY MUST BE A NUMBER FROM 1 TO 32767. (NON-HISTORICAL.)
909,00	C1	enforced	control cards	ours (D9.7)	test/control_parser_test.dart: an unknown option draws 909 and stays listed		COMPILE CARD OPTION 'NAME.1' IS NOT RECOGNIZED AND IS IGNORED. (NON-HISTORICAL.)
910,00	C3	enforced	procedure parser	ours (D9.7)	test/expression_parser_test.dart: a subscripted condition-name draws 910 (D5.6)		A CONDITION NAME CANNOT BE SUBSCRIPTED. SENTENCE DELETED FROM TEXT. (NON-HISTORICAL.)
911,00	C1	enforced	procedure parser	ours (D9.7)	test/procedure_parser_test.dart: a non-transfer AT END clause draws the 911 warning (D6.6)		-AT END- CLAUSE IS NOT A TRANSFER. ACCEPTED. (NON-HISTORICAL.)
912,00	C2	enforced	procedure parser	ours (D9.7)	test/expression_parser_test.dart: an alphameric literal outside TR draws 912		ALPHABETIC LITERAL CANNOT BE AN ARITHMETIC OPERAND OUTSIDE -TR-. (NON-HISTORICAL.)
913,00	C3	enforced	procedure parser	ours (D9.7)	test/expression_parser_test.dart: A**B**C draws 913 and groups left for recovery (D4.10)		CONSECUTIVE EXPONENTIATIONS MUST BE PARENTHESIZED. (NON-HISTORICAL.)
914,00	C2	enforced	procedure parser	ours (D9.7)	test/expression_parser_test.dart: subscripts parse; a fourth draws 914 (D3.1)		A REFERENCE CANNOT HAVE MORE THAN THREE SUBSCRIPTS. (NON-HISTORICAL.)
915,00	C5	enforced	procedure parser	ours (D9.7)	test/procedure_parser_test.dart: nesting past 18 stops compilation with one 915 (D9.7)		SECTION NESTING EXCEEDS THE DEPTH OF 18. (NON-HISTORICAL.)
916,00	C4	enforced	procedure parser	ours (D9.7)	test/procedure_parser_test.dart: INCLUDE draws 110; LOAD draws the non-historical 916 (M2-11)		VERB 'NAME.1' IS DEFERRED IN THE 7090 IMPLEMENTATION AND GENERATES NO CODE. (NON-HISTORICAL.)
917,00	C2	enforced	procedure parser	ours (D9.7)	test/expression_parser_test.dart: a non-name function argument draws 917 and is dropped	D10.6	FUNCTION ARGUMENT IS NOT A DATA NAME AND IS DROPPED. (NON-HISTORICAL.)
918,00	C1	enforced	data description	ours (D9.7)	test/data_parser_test.dart: a named REDEF line draws 918 and discards the name (D3.4)	D3.4	NAME ON -REDEF- LINE IS DISCARDED. (NON-HISTORICAL.)
919,00	C1	enforced	card reader and lexer	ours (D9.7)	test/data_lexer_test.dart: a continued constant draws 919 under --pedantic (D1.1)	D1.1; --pedantic only	DATA DESCRIPTION CONSTANT CONTINUES ACROSS CARDS. ACCEPTED. (NON-HISTORICAL.)
920,00	C1	enforced	card reader and lexer	ours (D9.7)	test/procedure_lexer_test.dart: a label without its period draws 920 under --pedantic (D9.4)	D1.3; D9.4a; --pedantic only	PROCEDURE NAME PERIOD OMITTED. ACCEPTED. (NON-HISTORICAL.)
921,00	C2	enforced	data description	ours (D9.7)	test/data_parser_test.dart: draws 921 in place of 918	D3.4; replaces 918 under --pedantic; --pedantic only	NAME ON -REDEF- LINE IS DISCARDED. THE BARE -REDEF- FORM IS REQUIRED. (NON-HISTORICAL.)
922,00	C3	enforced	procedure parser	ours (D9.7)	test/procedure_parser_test.dart: draws 922 in place of 911	D6.6; replaces 911 under --pedantic; --pedantic only	-AT END- CLAUSE IS NOT A TRANSFER. (NON-HISTORICAL.)
923,00	C1	enforced	control cards	ours (D9.7)	test/control_parser_test.dart: a deck.name with imbedded blanks draws 923 under --pedantic (D7.11)	D7.11; --pedantic only	COMPILE CARD DECK NAME 'NAME.1' CONTAINS IMBEDDED BLANKS. (NON-HISTORICAL.)
924,00	C1	enforced	environment description	ours (D9.7)	test/environment_parser_test.dart: draws 924 under	D8.5; --pedantic only	COMMA OMITTED BEFORE SECOND RECORD NAME IN INPUT -FILE- CLAUSE. (NON-HISTORICAL.)
925,00	C1	enforced	environment description	ours (D9.7)	test/environment_parser_test.dart: a short KEYS setting draws 925 under --pedantic (D9.16)	D9.16; --pedantic only	-COND- CARD KEY SETTING UNDER 12 DIGITS IS PADDED WITH LEADING ZEROS. (NON-HISTORICAL.)
926,00	C1	enforced	procedure parser	ours (D9.7)	test/procedure_parser_test.dart: a comma before OTHERWISE draws 926 under --pedantic (D10.5a)	D10.5a; --pedantic only	COMMA BEFORE -OTHERWISE- ACCEPTED. THE MANUALS SHOW NONE. (NON-HISTORICAL.)
927,00	C1	enforced	procedure parser	ours (D9.7)	test/procedure_parser_test.dart: draws 927 under --pedantic	D10.5b; --pedantic only	-AT END- WITHOUT PRECEDING COMMA ACCEPTED. THE MANUALS SHOW THE COMMA. (NON-HISTORICAL.)
928,00	C1	enforced	procedure parser	ours (D9.7)	test/procedure_parser_test.dart: draws 928 under	D10.5c; --pedantic only	COMMA BEFORE TERMINATING PERIOD ACCEPTED. (NON-HISTORICAL.)
929,00	C1	enforced	driver	ours (D9.7)	test/driver_test.dart: draws 929 under --pedantic	D11.1e; --pedantic only	JOB CLOSED BY A COMPILE CARD WITHOUT *FINISH. ACCEPTED. (NON-HISTORICAL.)
930,00	C2	enforced	data description	ours (D9.7)	test/data_mapper_test.dart: quantity nesting past three levels draws 930,00	M3 stage 1 (D3.1: the three-level quantity-nesting cap)	QUANTITY NESTED DEEPER THAN THREE LEVELS. QUANTITY OF ONE USED. (NON-HISTORICAL.)
931,00	C4	enforced	input/output binder	ours (D9.7)	test/data_mapper_test.dart: a BLOCKSIZE over 9999 draws 931,00 and the card is	M3 stage 1 (D7.1: no attested message covers the over-9999 value)	-BLOCKSIZE- EXCEEDS THE ENVIRONMENT MAXIMUM OF 9999 WORDS. -FILE- CARD REJECTED. (NON-HISTORICAL.)
932,00	C1	enforced	input/output binder	ours (D9.7)	test/data_mapper_test.dart: a REDEF sharing an input record area draws 932,00 and	M3 stage 1 (M3-11; J 02.07.05 attests the transmit and a message, the id is ours)	RECORDS OF FILE 'NAME.1' ARE TRANSMITTED BECAUSE A -REDEF- SHARES THEIR AREA. (NON-HISTORICAL.)
933,00	C1	enforced	data description	ours (D9.7)	test/data_mapper_test.dart: --pedantic notes the mixed-pictorial downgrade with 933,00	M3 stage 1; --pedantic only (M3-13: the J 90.01.03 silent downgrade)	MIXED ALPHABETIC AND NUMERIC PICTORIAL IS TREATED AS ALPHAMERIC. (NON-HISTORICAL.)
934,00	C1	enforced	data description	ours (D9.7)	test/data_mapper_test.dart: --pedantic notes a Quantity on an unnamed entry with	M3 stage 1; --pedantic only (M3-13: Open Question 18)	-QUANTITY- ON AN UNNAMED ENTRY WITHOUT NAMED SUBORDINATES. ACCEPTED. (NON-HISTORICAL.)
935,00	C1	enforced	data description	ours (D9.7)	test/data_mapper_test.dart: --pedantic notes an ineffective R with 935,00	M3 stage 1; --pedantic only (M3-13: D3.5, the formatless-leaf case msg 39 does not cover)	RIGHT JUSTIFICATION IGNORED FOR A FIELD WITHOUT AN EXPLICITLY DESCRIBED FORMAT. (NON-HISTORICAL.)
936,00	C2	enforced	name resolution	ours (D9.7)	test/resolver_test.dart: a subscripted old.name draws 936,00	M3 stage 2 (M3-21: no attested id, J 90.01.01)	SUBSCRIPT CANNOT BE USED IN THE OLD NAME OF A -CALL-. PAIR DROPPED. (NON-HISTORICAL.)
942,00	C5	enforced	name resolution	ours (D9.7)	test/resolver_test.dart: the 3501st name draws 942,00	M3 stage 2 (M3-21: D9.7's message-less dictionary limit, J 90.01.05 a)	NUMBER OF NAMES EXCEEDS THE 3500 NAME DICTIONARY CAPACITY. (NON-HISTORICAL.)
945,00	C1	enforced	name resolution	ours (D9.7)	test/resolver_test.dart: --pedantic notes a record.name old.name with 945,00	M3 stage 2; --pedantic only (M3-21: D4.13's deferred note)	A RECORD NAME IS USED AS THE OLD NAME OF A -CALL-. ACCEPTED. (NON-HISTORICAL.)
